August,2.09,5962,0.345,0.57,0.65,0.075384615,0.98,0.075510204,0.9,0.075555556,0.048,0.0625,0.09,0.077777778,1039.5,121,11.7,5.43,1.62
September,2.09,5962,0.345,0.57,0.65,0.075384615,0.98,0.075510204,1.04,0.075961538,0.048,0.0625,0.09,0.077777778,1039.5,121,11.7,5.43,1.62
October,2.09,5962,0.345,0.57,0.66,0.075757576,0.98,0.075510204,0.93,0.075268817,0.048,0.0625,0.09,0.077777778,1039.5,121,11.7,5.43,1.62
November,2.09,5962,0.345,0.57,0.7,0.075714286,0.98,0.075510204,0.82,0.075609756,0.048,0.0625,0.09,0.077777778,1039.5,121,11.7,5.43,1.62
December,2.09,5962,0.345,0.57,0.8,0.07625,0.98,0.075510204,0.81,0.075308642,0.048,0.0625,0.09,0.077777778,1039.5,121,11.7,5.43,1.62
,,,,,,,,,,,,,,,,,,,
# Each meter in the Energy Usage File must appear in this file.  The meter name must be the same as in the Energy Usage File and must be followed by 13 lines (1 header and 12 months) of parameters that apply to the specific meter. ,,,,,,,,,,,,,,,,,,,
#  Columns must be in the order specifed,,,,,,,,,,,,,,,,,,,
# It is OK to have meters described below if they don’t appear in the Energy Usage File.,,,,,,,,,,,,,,,,,,,
Meter,NMI1,,,,,,,,,,,,,,,,,,
Month,Loss Ratio (Spot Price),Loss Ratio (Feed-in)),Demand Capacity ($/kVA/Mth),Demand Critical Peak ($/kVA/Mth),,,,,,,,,,,,,,,
Jan,0.068561246,0.068561246,110,14.33262295,,,,,,,,,,,,,,,
February,0.068445897,0.068445897,110,24.63558195,,,,,,,,,,,,,,,
March,0.068482926,0.068482926,110,21.41636207,,,,,,,,,,,,,,,
April,0.068553306,0.068553306,110,19.47395911,,,,,,,,,,,,,,,
May,0.068470343,0.068470343,110,20.77660103,,,,,,,,,,,,,,,
June,0.068506654,0.068506654,110,20.66848489,,,,,,,,,,,,,,,
July,0.070806808,0.070806808,110,22.92120154,,,,,,,,,,,,,,,
August,0.075963188,0.075963188,110,19.87453398,,,,,,,,,,,,,,,
September,0.070900281,0.070900281,110,20.22238628,,,,,,,,,,,,,,,
October,0.070890411,0.070890411,110,20.56169073,,,,,,,,,,,,,,,
November,0.070880095,0.070880095,110,21.0041426,,,,,,,,,,,,,,,
December,0.070878683,0.070878683,110,14.3599378,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Meter,NMI2,,,,,,,,,,,,,,,,,,
Month,Loss Ratio (Spot Price),Loss Ratio (Feed-in)),Demand Capacity ($/kVA/Mth),Demand Critical Peak ($/kVA/Mth),,,,,,,,,,,,,,,
Jan,0.068510003,0.068510003,1000,383.12,,,,,,,,,,,,,,,
February,0.068459658,0.068459658,1000,383.12,,,,,,,,,,,,,,,
March,0.068473087,0.068473087,1000,383.12,,,,,,,,,,,,,,,
April,0.068400094,0.068400094,1000,424.37,,,,,,,,,,,,,,,
May,0.068564305,0.068564305,1000,424.37,,,,,,,,,,,,,,,
June,0.068463105,0.068463105,1000,424.37,,,,,,,,,,,,,,,
July,0.070863126,0.070863126,1000,424.37,,,,,,,,,,,,,,,
August,0.070852281,0.070852281,1000,424.37,,,,,,,,,,,,,,,
September,0.070840609,0.070840609,1000,424.37,,,,,,,,,,,,,,,
October,0.070832624,0.070832624,1000,424.37,,,,,,,,,,,,,,,
November,0.070826953,0.070826953,1000,424.37,,,,,,,,,,,,,,,
December,0.070826833,0.070826833,1000,424.37,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Meter,NMI3,,,,,,,,,,,,,,,,,,
Month,Loss Ratio (Spot Price),Loss Ratio (Feed-in)),Demand Capacity ($/kVA/Mth),Demand Critical Peak ($/kVA/Mth),,,,,,,,,,,,,,,
Jan,0.061368015,0.061368015,640,134.28,,,,,,,,,,,,,,,
February,0.061242979,0.061242979,640,134.28,,,,,,,,,,,,,,,
March,0.061330762,0.061330762,640,134.28,,,,,,,,,,,,,,,
April,0.061309679,0.061309679,640,68.52,,,,,,,,,,,,,,,
May,0.061331509,0.061331509,640,68.52,,,,,,,,,,,,,,,
June,0.06140963,0.06140963,640,68.52,,,,,,,,,,,,,,,
July,0.063232488,0.063232488,640,68.52,,,,,,,,,,,,,,,
August,0.063081009,0.063081009,640,68.52,,,,,,,,,,,,,,,
September,0.063294716,0.063294716,640,68.52,,,,,,,,,,,,,,,
October,0.06305963,0.06305963,640,68.52,,,,,,,,,,,,,,,
November,0.06308462,0.06308462,640,68.52,,,,,,,,,,,,,,,
December,0.063059835,0.063059835,640,68.52,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Meter,NMI4,,,,,,,,,,,,,,,,,,
Month,Loss Ratio (Spot Price),Loss Ratio (Feed-in)),Demand Capacity ($/kVA/Mth),Demand Critical Peak ($/kVA/Mth),,,,,,,,,,,,,,,
Jan,0.061290613,0.061290613,600,177.1,,,,,,,,,,,,,,,
February,0.061461497,0.061461497,600,177.1,,,,,,,,,,,,,,,
March,0.061247637,0.061247637,600,177.1,,,,,,,,,,,,,,,
April,0.061319534,0.061319534,600,253.82,,,,,,,,,,,,,,,
May,0.061374249,0.061374249,600,253.82,,,,,,,,,,,,,,,
June,0.061291436,0.061291436,600,253.82,,,,,,,,,,,,,,,
July,0.063003566,0.063003566,600,253.82,,,,,,,,,,,,,,,
August,0.063214838,0.063214838,600,253.82,,,,,,,,,,,,,,,
September,0.062847608,0.062847608,600,253.82,,,,,,,,,,,,,,,
October,0.063192521,0.063192521,600,253.82,,,,,,,,,,,,,,,
November,0.063209771,0.063209771,600,253.82,,,,,,,,,,,,,,,
December,0.063241107,0.063241107,600,253.82,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Meter,NMI5,,,,,,,,,,,,,,,,,,
Month,Loss Ratio (Spot Price),Loss Ratio (Feed-in)),Demand Capacity ($/kVA/Mth),Demand Critical Peak ($/kVA/Mth),,,,,,,,,,,,,,,
Jan,0.068497321,0.068497321,40,9.576058301,,,,,,,,,,,,,,,
February,0.068512857,0.068512857,40,11.82108284,,,,,,,,,,,,,,,
March,0.068501287,0.068501287,40,11.36188341,,,,,,,,,,,,,,,
April,0.06835377,0.06835377,40,10.00488762,,,,,,,,,,,,,,,
May,0.068360693,0.068360693,40,9.968672575,,,,,,,,,,,,,,,
June,0.068520033,0.068520033,40,10.23836356,,,,,,,,,,,,,,,
July,0.070919123,0.070919123,40,8.848840428,,,,,,,,,,,,,,,
August,0.072453499,0.072453499,40,8.162094128,,,,,,,,,,,,,,,
September,0.070952092,0.070952092,40,7.235488973,,,,,,,,,,,,,,,
October,0.070853778,0.070853778,40,13.31339361,,,,,,,,,,,,,,,
November,0.070952975,0.070952975,40,10.95336301,,,,,,,,,,,,,,,
December,0.071008815,0.071008815,40,11.11373602,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Meter,NMI6,,,,,,,,,,,,,,,,,,
Month,Loss Ratio (Spot Price),Loss Ratio (Feed-in)),Demand Capacity ($/kVA/Mth),Demand Critical Peak ($/kVA/Mth),,,,,,,,,,,,,,,
Jan,0.061383724,0.061383724,770,184.4,,,,,,,,,,,,,,,
February,0.061408347,0.061408347,770,184.4,,,,,,,,,,,,,,,
March,0.061304948,0.061304948,770,184.4,,,,,,,,,,,,,,,
April,0.061240721,0.061240721,770,106.2,,,,,,,,,,,,,,,
May,0.061520737,0.061520737,770,106.2,,,,,,,,,,,,,,,
June,0.061313077,0.061313077,770,106.2,,,,,,,,,,,,,,,
July,0.063139234,0.063139234,770,106.2,,,,,,,,,,,,,,,
August,0.063125102,0.063125102,770,106.2,,,,,,,,,,,,,,,
September,0.063040446,0.063040446,770,106.2,,,,,,,,,,,,,,,
October,0.06305638,0.06305638,770,106.2,,,,,,,,,,,,,,,
November,0.06314433,0.06314433,770,106.2,,,,,,,,,,,,,,,
December,0.063124108,0.063124108,770,106.2,,,,,,,,,,,,,,,
